,Iteration,Total_Reward
398,398,61.0
399,399,84.0
400,400,136.0
401,401,107.0
402,402,87.0
403,403,75.0
404,404,97.0
405,405,114.0
406,406,155.0
407,407,189.0
408,408,143.0
409,409,200.0
410,410,200.0
411,411,200.0
412,412,200.0
413,413,200.0
414,414,200.0
415,415,181.0
416,416,200.0
417,417,136.0
418,418,138.0
419,419,144.0
420,420,87.0
421,421,122.0
422,422,101.0
423,423,94.0
424,424,95.0
425,425,89.0
426,426,72.0
427,427,64.0
428,428,106.0
429,429,70.0
430,430,70.0
431,431,78.0
432,432,83.0
433,433,76.0
434,434,85.0
435,435,56.0
436,436,78.0
437,437,61.0
438,438,81.0
439,439,86.0
440,440,71.0
441,441,60.0
442,442,66.0
443,443,55.0
444,444,84.0
445,445,83.0
446,446,76.0
447,447,61.0
448,448,69.0
449,449,92.0
450,450,80.0
451,451,75.0
452,452,63.0
453,453,68.0
454,454,98.0
455,455,90.0
456,456,71.0
457,457,66.0
458,458,114.0
459,459,72.0
460,460,75.0
461,461,88.0
462,462,119.0
463,463,82.0
464,464,92.0
465,465,85.0
466,466,120.0
467,467,104.0
468,468,87.0
469,469,103.0
470,470,93.0
471,471,83.0
472,472,82.0
473,473,117.0
474,474,118.0
475,475,101.0
476,476,130.0
477,477,116.0
478,478,121.0
479,479,165.0
480,480,130.0
481,481,177.0
482,482,130.0
483,483,164.0
484,484,144.0
485,485,144.0
486,486,150.0
487,487,131.0
488,488,118.0
489,489,133.0
490,490,144.0
491,491,162.0
492,492,200.0
493,493,164.0
494,494,200.0
495,495,200.0
496,496,200.0
497,497,200.0
498,498,200.0
499,499,200.0
500,500,200.0
501,501,200.0
502,502,200.0
503,503,200.0
504,504,200.0
505,505,200.0
506,506,200.0
507,507,200.0
508,508,200.0
509,509,200.0
510,510,200.0
511,511,200.0
512,512,200.0
513,513,200.0
514,514,200.0
515,515,200.0
516,516,200.0
517,517,200.0
518,518,200.0
519,519,200.0
520,520,200.0
521,521,200.0
522,522,200.0
523,523,200.0
524,524,200.0
525,525,200.0
526,526,200.0
527,527,200.0
528,528,200.0
529,529,200.0
530,530,200.0
531,531,200.0
532,532,200.0
533,533,200.0
534,534,200.0
535,535,200.0
536,536,200.0
537,537,200.0
538,538,200.0
539,539,200.0
540,540,200.0
541,541,200.0
542,542,200.0
543,543,200.0
544,544,200.0
545,545,200.0
546,546,200.0
547,547,200.0
548,548,200.0
549,549,200.0
550,550,200.0
551,551,200.0
552,552,200.0
553,553,200.0
554,554,200.0
555,555,200.0
556,556,200.0
557,557,200.0
558,558,200.0
559,559,200.0
560,560,200.0
561,561,200.0
562,562,200.0
563,563,200.0
564,564,200.0
565,565,194.0
566,566,188.0
567,567,195.0
568,568,190.0
569,569,197.0
570,570,200.0
571,571,200.0
572,572,200.0
573,573,200.0
574,574,200.0
575,575,200.0
576,576,200.0
577,577,200.0
578,578,200.0
579,579,200.0
580,580,200.0
581,581,200.0
582,582,109.0
583,583,126.0
584,584,103.0
585,585,109.0
586,586,103.0
587,587,97.0
588,588,102.0
589,589,99.0
590,590,106.0
591,591,105.0
592,592,38.0
593,593,100.0
594,594,98.0
595,595,102.0
596,596,102.0
597,597,35.0
598,598,92.0
599,599,97.0
600,600,101.0
601,601,100.0
602,602,33.0
603,603,99.0
604,604,97.0
605,605,105.0
606,606,97.0
607,607,102.0
608,608,35.0
609,609,104.0
610,610,111.0
611,611,97.0
612,612,103.0
613,613,97.0
614,614,113.0
615,615,100.0
616,616,100.0
617,617,187.0
618,618,187.0
619,619,92.0
620,620,194.0
621,621,200.0
622,622,196.0
623,623,194.0
624,624,91.0
625,625,191.0
626,626,185.0
627,627,188.0
628,628,107.0
629,629,190.0
630,630,198.0
631,631,116.0
632,632,110.0
633,633,113.0
634,634,103.0
635,635,107.0
636,636,109.0
637,637,104.0
638,638,108.0
639,639,106.0
640,640,105.0
641,641,98.0
642,642,99.0
643,643,101.0
644,644,100.0
645,645,101.0
646,646,93.0
647,647,96.0
648,648,100.0
649,649,109.0
650,650,101.0
651,651,98.0
652,652,105.0
653,653,102.0
654,654,94.0
655,655,97.0
656,656,97.0
657,657,101.0
658,658,94.0
659,659,104.0
660,660,101.0
661,661,107.0
662,662,98.0
663,663,96.0
664,664,106.0
665,665,101.0
666,666,96.0
667,667,100.0
668,668,102.0
669,669,102.0
670,670,97.0
671,671,96.0
672,672,96.0
673,673,103.0
674,674,100.0
675,675,50.0
676,676,96.0
677,677,39.0
678,678,44.0
679,679,41.0
680,680,99.0
681,681,42.0
682,682,32.0
683,683,35.0
684,684,34.0
685,685,42.0
686,686,45.0
687,687,30.0
688,688,36.0
689,689,38.0
690,690,37.0
691,691,40.0
692,692,40.0
693,693,36.0
694,694,43.0
695,695,39.0
696,696,30.0
697,697,40.0
698,698,33.0
699,699,98.0
700,700,32.0
701,701,33.0
702,702,45.0
703,703,25.0
704,704,30.0
705,705,95.0
706,706,91.0
707,707,43.0
708,708,39.0
709,709,100.0
710,710,97.0
711,711,103.0
712,712,46.0
713,713,97.0
714,714,97.0
715,715,95.0
716,716,94.0
717,717,103.0
718,718,100.0
719,719,96.0
720,720,94.0
721,721,101.0
722,722,108.0
723,723,105.0
724,724,101.0
725,725,102.0
726,726,97.0
727,727,98.0
728,728,112.0
729,729,99.0
730,730,49.0
731,731,101.0
732,732,112.0
733,733,103.0
734,734,99.0
735,735,56.0
736,736,96.0
737,737,109.0
738,738,47.0
739,739,67.0
740,740,111.0
741,741,54.0
742,742,106.0
743,743,97.0
744,744,107.0
745,745,103.0
746,746,103.0
747,747,112.0
748,748,115.0
749,749,99.0
750,750,111.0
751,751,100.0
752,752,113.0
753,753,106.0
754,754,108.0
755,755,98.0
756,756,110.0
757,757,115.0
758,758,114.0
759,759,107.0
760,760,116.0
761,761,102.0
762,762,104.0
763,763,98.0
764,764,116.0
765,765,115.0
766,766,106.0
767,767,100.0
768,768,115.0
769,769,116.0
770,770,113.0
771,771,103.0
772,772,107.0
773,773,112.0
774,774,116.0
775,775,115.0
776,776,108.0
777,777,104.0
778,778,105.0
779,779,109.0
780,780,110.0
781,781,103.0
782,782,110.0
783,783,115.0
784,784,107.0
785,785,111.0
786,786,109.0
787,787,113.0
788,788,108.0
789,789,104.0
790,790,106.0
791,791,103.0
792,792,112.0
793,793,95.0
794,794,108.0
795,795,106.0
796,796,105.0
797,797,95.0
798,798,107.0
799,799,38.0
800,800,107.0
801,801,104.0
802,802,97.0
803,803,106.0
804,804,96.0
805,805,101.0
806,806,105.0
807,807,95.0
808,808,104.0
809,809,111.0
810,810,111.0
811,811,107.0
812,812,102.0
813,813,98.0
814,814,101.0
815,815,108.0
816,816,94.0
817,817,107.0
818,818,107.0
819,819,101.0
820,820,95.0
821,821,55.0
822,822,97.0
823,823,45.0
824,824,47.0
825,825,102.0
826,826,46.0
827,827,44.0
828,828,51.0
829,829,56.0
830,830,101.0
831,831,98.0
832,832,92.0
833,833,92.0
834,834,46.0
835,835,49.0
836,836,40.0
837,837,41.0
838,838,102.0
839,839,41.0
840,840,102.0
841,841,107.0
842,842,95.0
843,843,105.0
844,844,50.0
845,845,60.0
846,846,98.0
847,847,46.0
848,848,105.0
849,849,99.0
850,850,50.0
851,851,96.0
852,852,46.0
853,853,100.0
854,854,95.0
855,855,97.0
856,856,96.0
857,857,95.0
858,858,93.0
859,859,97.0
860,860,106.0
861,861,39.0
862,862,48.0
863,863,97.0
864,864,41.0
865,865,96.0
866,866,39.0
867,867,44.0
868,868,38.0
869,869,53.0
870,870,35.0
871,871,37.0
872,872,43.0
873,873,39.0
874,874,37.0
875,875,32.0
876,876,90.0
877,877,49.0
878,878,94.0
879,879,44.0
880,880,41.0
881,881,28.0
882,882,93.0
883,883,99.0
884,884,100.0
885,885,37.0
886,886,104.0
887,887,98.0
888,888,94.0
889,889,101.0
890,890,99.0
891,891,102.0
892,892,94.0
893,893,96.0
894,894,106.0
895,895,113.0
896,896,105.0
897,897,112.0
898,898,114.0
899,899,121.0
900,900,120.0
901,901,123.0
902,902,129.0
903,903,139.0
904,904,127.0
905,905,200.0
906,906,200.0
907,907,200.0
908,908,200.0
909,909,200.0
910,910,200.0
911,911,200.0
912,912,200.0
913,913,200.0
914,914,129.0
915,915,121.0
916,916,127.0
917,917,117.0
918,918,114.0
919,919,117.0
920,920,105.0
921,921,107.0
922,922,108.0
923,923,111.0
924,924,106.0
925,925,111.0
926,926,111.0
927,927,106.0
928,928,102.0
929,929,104.0
930,930,104.0
931,931,106.0
932,932,99.0
933,933,98.0
934,934,102.0
935,935,107.0
936,936,96.0
937,937,99.0
938,938,100.0
939,939,93.0
940,940,98.0
941,941,95.0
942,942,92.0
943,943,103.0
944,944,92.0
945,945,92.0
946,946,100.0
947,947,41.0
948,948,46.0
949,949,92.0
950,950,96.0
951,951,101.0
952,952,93.0
953,953,104.0
954,954,42.0
955,955,44.0
956,956,95.0
957,957,91.0
958,958,93.0
959,959,96.0
960,960,40.0
961,961,106.0
962,962,105.0
963,963,99.0
964,964,106.0
965,965,94.0
966,966,96.0
967,967,96.0
968,968,101.0
969,969,100.0
970,970,100.0
971,971,98.0
972,972,94.0
973,973,99.0
974,974,96.0
975,975,96.0
976,976,98.0
977,977,96.0
978,978,98.0
979,979,98.0
980,980,99.0
981,981,97.0
982,982,102.0
983,983,101.0
984,984,103.0
985,985,103.0
986,986,95.0
987,987,96.0
988,988,105.0
989,989,104.0
990,990,108.0
991,991,96.0
992,992,108.0
993,993,110.0
994,994,103.0
995,995,109.0
996,996,105.0
997,997,107.0
998,998,104.0
999,999,105.0
1000,1000,112.0
1001,1001,107.0
1002,1002,118.0
1003,1003,104.0
1004,1004,107.0
1005,1005,109.0
1006,1006,115.0
1007,1007,122.0
1008,1008,121.0
1009,1009,114.0
1010,1010,126.0
1011,1011,114.0
1012,1012,126.0
1013,1013,127.0
1014,1014,116.0
